ID,id,lat,lon,datetime
EP011949,            UNNAMED,20.2,-106.3,1949-06-11 00:00:00
EP011949,            UNNAMED,20.2,-106.4,1949-06-11 06:00:00
EP011949,            UNNAMED,20.2,-106.7,1949-06-11 12:00:00
EP011949,            UNNAMED,20.3,-107.7,1949-06-11 18:00:00
EP011949,            UNNAMED,20.4,-108.6,1949-06-12 00:00:00
EP011949,            UNNAMED,20.5,-109.4,1949-06-12 06:00:00
EP011949,            UNNAMED,20.6,-110.2,1949-06-12 12:00:00
EP021949,            UNNAMED,14.1,-107.0,1949-06-17 12:00:00
EP021949,            UNNAMED,14.6,-107.7,1949-06-17 18:00:00
EP021949,            UNNAMED,15.0,-108.4,1949-06-18 00:00:00
EP021949,            UNNAMED,15.4,-109.2,1949-06-18 06:00:00
EP021949,            UNNAMED,15.7,-110.0,1949-06-18 12:00:00
EP021949,            UNNAMED,16.0,-110.8,1949-06-18 18:00:00
EP021949,            UNNAMED,16.3,-111.6,1949-06-19 00:00:00
EP021949,            UNNAMED,16.7,-112.3,1949-06-19 06:00:00
EP021949,            UNNAMED,17.1,-112.9,1949-06-19 12:00:00
EP021949,            UNNAMED,17.5,-113.5,1949-06-19 18:00:00
EP021949,            UNNAMED,18.0,-114.1,1949-06-20 00:00:00
EP021949,            UNNAMED,18.4,-114.6,1949-06-20 06:00:00
EP021949,            UNNAMED,18.9,-115.1,1949-06-20 12:00:00
EP021949,            UNNAMED,19.4,-115.6,1949-06-20 18:00:00
EP021949,            UNNAMED,19.9,-116.0,1949-06-21 00:00:00
EP021949,            UNNAMED,20.4,-116.4,1949-06-21 06:00:00
EP021949,            UNNAMED,21.0,-116.7,1949-06-21 12:00:00
EP021949,            UNNAMED,21.5,-117.1,1949-06-21 18:00:00
EP021949,            UNNAMED,22.0,-117.5,1949-06-22 00:00:00
EP021949,            UNNAMED,22.5,-117.8,1949-06-22 06:00:00
EP021949,            UNNAMED,23.1,-118.0,1949-06-22 12:00:00
EP021949,            UNNAMED,23.9,-118.0,1949-06-22 18:00:00
EP021949,            UNNAMED,24.7,-117.7,1949-06-23 00:00:00
EP021949,            UNNAMED,25.4,-117.4,1949-06-23 06:00:00
EP021949,            UNNAMED,26.0,-117.0,1949-06-23 12:00:00
